Company Name,Website URL,Has Facebook,Facebook URL,Facebook Page Name,Followers,Phone (Facebook),Email (Facebook),Address (Facebook),Emails (Website),Phones (Website),Found Via,Description Snippet,Scraped At
Buea – Royal Property Group,https://royalpropertygroup.org/property-locations/buea/,Yes,https://www.facebook.com/royalpropertygroupcm,Royal Property Group,181,61824962,info@royalpropertygroup.net,,info@royalpropertygroup.org,"24791882; 32257558; +23767487490; 21099272",google_serpapi,"We are specialized in property sales, rentals, and construction management of real estate properties. Our goal is to provide our clients with the best possible ...",2026-03-17T15:39:20.358Z
EverAfrica | Entreprise de construction partenaire de vos projets,https://ever-africa.com/,Yes,https://www.facebook.com/everafrica.company,EverAfrica,1000,61825027,contact@ever-africa.com,,contact@ever-africa.com,"20200904; 20240905; 25577289; 68734985; 68708615; 68722817; 68709794; 68722819; 68709941; 68572016; 68572015; 68859932; 69260342; 68708643; 68708656; 68708613; 68708640; 68708649; 68708654; 68710975; 68710972; 68794745; 68709001; 68734904; 68709868; 68709830; 68709623; 68709534; 68708999; 68709871; 68709834; 68734907; 68734911; 68709883; 68709837; 68709002; 68709887; 68709839; 68734918; 68709004; 68734924; 68711746; 68709842; 68709005; 68709893; 68709845; 68734932; 68709007; 68734941; 68709895; 68709847; 68709008; 68709899; 68709850; 68734977; 68710958; 68713632; 68713681; 68794778; 68734980; 68709781; 68723024; 68723037; 68723039; 68709792; 61421473; 68712407; 60284164; 60267254; 20250206",google_serpapi,"Entreprise de construction, spécialisée dans la conception et la mise en œuvre de bâtiments clé à main (maisons, immeubles, etc.)",2026-03-17T15:41:48.866Z
Centriq Real Estate: Promoteur Immobilier Fiable au Cameroun,https://centriqrealestate.com/,Yes,https://www.facebook.com/share/1JX8L5SJ4w,Centriq,38000,61825073,commercial@centriqreinvest.com,,sales@centriqrealestate.com,"20250530; 20250707",google_serpapi,"Centriq Real Estate SA est une société spécialisée dans la construction et la promotion immobilière au Cameroun, ainsi que dans la gestion d'investissements ...",2026-03-17T15:43:38.257Z
Promotion immobilière,https://groupe-kedibuild.com/promotion-immobiliere/,Yes,https://www.facebook.com/Groupekedibuild,Groupe Kedibuild,871,61825081,contact@groupe-kedibuild.com,,contact@groupe-kedibuild.com,"25703981; 25721601; 25726000; 61893762; 61935481; 61893758; 33416504; 20250206",google_serpapi,"BP : 5335 Douala, Cameroun. Tel: 233 41 65 04. Mail : contact@groupe-kedibuild.com. Liens directs. Immobilier · Cabinet conseil · Investir · Carriere ...",2026-03-17T15:43:57.888Z
Agents et Promoteurs immobiliers,https://www.minhdu.gov.cm/agents-et-promoteurs-immobiliers/,Yes,https://www.facebook.com/cameroun.minhdu,Ministère de l'Habitat et du Développement Urbain,41000,61825095,,,info@minhdu.gov.cm,"20100101; 20220616; 20240202; 22222210; 39026082; 20251028; 20240913; 20230829",google_serpapi,QUELLES SONT LES CONDITIONS D'ELIGIBILITE A LA PROFESSION DE PROMOTEUR IMMOBILIER ? · Être de nationalité camerounaise ou ressortissant d'un État étranger ayant ...,2026-03-17T15:44:27.905Z
BIGC-BTP – Bureau d'Ingenieurs de Genie Civil,https://bigcbtp.com/,Yes,https://www.facebook.com/share/18bwZTfB9S,BIGC BTP Construction SARL,3000,61825214,,,bigcbtpsarl@yahoo.com,"+23767807094; +23769679475; 67807094; 69679475; 20250221; 67108864; 20251001",google_serpapi,"BP : 76 02 douala, Cameroun; Lun-Ven: 8h-18h, Sam-Dim: 8h ... BIGC BTP est une entreprise de génie civil spécialisée dans le bâtiment et travaux publics.",2026-03-17T15:49:02.636Z
Entreprise BTP Construction Rénovation Génie Civil ...,https://www.renovbuilding.cm/services,Yes,https://www.facebook.com/renovbuilding,Renov Building,867,61825235,,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Renov Building, entreprise leader du secteur BTP au Cameroun spécialisée en construction durable, rénovation complète, travaux de génie civil, ...",2026-03-17T15:49:53.215Z
Real estate development in Cameroon,https://www.expat.com/en/business/africa/cameroon/9_engineering-construction/195_real-estate-development/,Yes,https://www.facebook.com/expat.blog,Expat.com,112000,61825329,,,contact@expat.com,"20169404; 23765383; 23769285; 65699430; 23723341; 69263237; 23769394; 69800238; 23769347; 69414438; 24245569; 69982903; 32097499; +23765383930; 0023769285058; 0023769394925; 0023769347995",google_serpapi,Any property development project in Cameroon? Our Real estate developers in Cameroon directory will help you.,2026-03-17T15:53:36.410Z
Building and Roofing Industry of Cameroon: Accueil,https://briccameroun.com/,Yes,https://www.facebook.com/briccm,BRIC Cameroun S.A.,985,61825392,serviceclient@briccameroun.com,,,"20170430; 20221205; 20250206; 30539140; 31309545; 62313825; 63710212; 62419242",google_serpapi,"BRIC SA (Building and Roofing Industry of Cameroon) est une Société de droit Camerounais, exerçant dans la fabrication des matériaux de construction, le génie ...",2026-03-17T15:56:00.005Z
"Renov Building - Construction, Rénovation, BTP, Plomberie ...",https://www.renovbuilding.cm/,Yes,https://www.facebook.com/renovbuilding,Renov Building,867,61825399,contact@renovbuilding.cm,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Renov Building, entreprise leader du secteur BTP au Cameroun spécialisée en construction durable, rénovation complète, travaux de génie civil, ...",2026-03-17T15:56:16.953Z
Toutes les villes - adpmrealestate,https://adpmrealestate.com/fr/,Yes,https://www.facebook.com/ADPMCameroun,African Diaspora Project Management,26000,61825454,info@adpm-investiraucameroun.com,,Cameroun@adpmrealestate.com,"0023769352952; 20251123; 65356495",google_serpapi,"Douala. More Details · 25 Properties. Yaoundé. More Details · 1 Property. Kribi. More Details. ""ADPM Real Estate m'a permis d'acheter sereinement depuis la ...",2026-03-17T15:58:25.382Z
Agencies - 237immobilier.com,https://237immobilier.com/agencies/,Yes,https://www.facebook.com/inspirythemes,InspiryThemes,13000,61825471,,,"hello@digi-tech.com; hello@yoursite.com; hello@digit-tech.com","37987884; 37791035; +23767193709; 37719370",google_serpapi,Alice is a broker associate and Realtor. She is dedicated in helping buyers and sellers throughout the city. She enjoys the local aspect of real estate.,2026-03-17T15:59:02.867Z
"Manage - Codecis : Real Estate Agency Cameroon, Yaounde ...",https://codecis.com/en/manage/,Yes,https://www.facebook.com/codecis,Codecis: Immobilier Yaoundé,21000,61825486,info@codecis.com,,"medianetmandjan@gmail.com; info@codecis.com","+23767519520; 20250409; 20260228; 69838820; 23456789; 20240521; 31536000; 20251215; 25686540",google_serpapi,"... Real Estate Agents of Cameroon (ANAIC), based in Douala, P.O. Box 11955, Tel (237) 699 94 62 72 / 699 95 79 64, or with the relevant Ministry, which is the ...",2026-03-17T15:59:37.581Z
100 experts immobiliers à proximité - StarOfService,https://www.starofservice.cm/expertise-immobiliere/near-me,Yes,https://www.facebook.com/Starofservice,StarOfService.com,49000,61825495,,,exemple@email.com,"26783251; 26233582; 37950312; 32579947; 22123456; 21185834; 25171951; 60051255; 25175884; 24841070; 38139397; 68126844; 28154755; 36149961; 37321367; 32128233; 68107038; 68112072; 60081139; 34161134; 62113024; 66661390; 38149124; 29145904; 26671591; 34821582; 29471582; 39931686; 38011630; 38551671; 61251687; 20241008; 20240822; 21100598; 32226536; 61973678; 64014304; 61315359; 69359766; 21254962; 35840767; 37990632; 69767577; 61473839; 64464726; 39887972; 26233077; 37393700",google_serpapi,Voici la liste complète de nos meilleurs experts immobiliers évalués par la communauté StarOfService. Vous voulez savoir qui est dans le top 100 ?,2026-03-17T16:00:03.484Z
