Company Name,Website URL,Has Facebook,Facebook URL,Facebook Page Name,Followers,Phone (Facebook),Email (Facebook),Address (Facebook),Emails (Website),Phones (Website),Found Via,Description Snippet,Scraped At
Buea – Royal Property Group,https://royalpropertygroup.org/property-locations/buea/,Yes,https://www.facebook.com/royalpropertygroupcm,Royal Property Group,181,61824962,info@royalpropertygroup.net,,info@royalpropertygroup.org,"24791882; 32257558; +23767487490; 21099272",google_serpapi,"We are specialized in property sales, rentals, and construction management of real estate properties. Our goal is to provide our clients with the best possible ...",2026-03-17T15:39:20.358Z
EverAfrica | Entreprise de construction partenaire de vos projets,https://ever-africa.com/,Yes,https://www.facebook.com/everafrica.company,EverAfrica,1000,61825027,contact@ever-africa.com,,contact@ever-africa.com,"20200904; 20240905; 25577289; 68734985; 68708615; 68722817; 68709794; 68722819; 68709941; 68572016; 68572015; 68859932; 69260342; 68708643; 68708656; 68708613; 68708640; 68708649; 68708654; 68710975; 68710972; 68794745; 68709001; 68734904; 68709868; 68709830; 68709623; 68709534; 68708999; 68709871; 68709834; 68734907; 68734911; 68709883; 68709837; 68709002; 68709887; 68709839; 68734918; 68709004; 68734924; 68711746; 68709842; 68709005; 68709893; 68709845; 68734932; 68709007; 68734941; 68709895; 68709847; 68709008; 68709899; 68709850; 68734977; 68710958; 68713632; 68713681; 68794778; 68734980; 68709781; 68723024; 68723037; 68723039; 68709792; 61421473; 68712407; 60284164; 60267254; 20250206",google_serpapi,"Entreprise de construction, spécialisée dans la conception et la mise en œuvre de bâtiments clé à main (maisons, immeubles, etc.)",2026-03-17T15:41:48.866Z
Centriq Real Estate: Promoteur Immobilier Fiable au Cameroun,https://centriqrealestate.com/,Yes,https://www.facebook.com/share/1JX8L5SJ4w,Centriq,38000,61825073,commercial@centriqreinvest.com,,sales@centriqrealestate.com,"20250530; 20250707",google_serpapi,"Centriq Real Estate SA est une société spécialisée dans la construction et la promotion immobilière au Cameroun, ainsi que dans la gestion d'investissements ...",2026-03-17T15:43:38.257Z
Promotion immobilière,https://groupe-kedibuild.com/promotion-immobiliere/,Yes,https://www.facebook.com/Groupekedibuild,Groupe Kedibuild,871,61825081,contact@groupe-kedibuild.com,,contact@groupe-kedibuild.com,"25703981; 25721601; 25726000; 61893762; 61935481; 61893758; 33416504; 20250206",google_serpapi,"BP : 5335 Douala, Cameroun. Tel: 233 41 65 04. Mail : contact@groupe-kedibuild.com. Liens directs. Immobilier · Cabinet conseil · Investir · Carriere ...",2026-03-17T15:43:57.888Z
Agents et Promoteurs immobiliers,https://www.minhdu.gov.cm/agents-et-promoteurs-immobiliers/,Yes,https://www.facebook.com/cameroun.minhdu,Ministère de l'Habitat et du Développement Urbain,41000,61825095,,,info@minhdu.gov.cm,"20100101; 20220616; 20240202; 22222210; 39026082; 20251028; 20240913; 20230829",google_serpapi,QUELLES SONT LES CONDITIONS D'ELIGIBILITE A LA PROFESSION DE PROMOTEUR IMMOBILIER ? · Être de nationalité camerounaise ou ressortissant d'un État étranger ayant ...,2026-03-17T15:44:27.905Z
BIGC-BTP – Bureau d'Ingenieurs de Genie Civil,https://bigcbtp.com/,Yes,https://www.facebook.com/share/18bwZTfB9S,BIGC BTP Construction SARL,3000,61825214,,,bigcbtpsarl@yahoo.com,"+23767807094; +23769679475; 67807094; 69679475; 20250221; 67108864; 20251001",google_serpapi,"BP : 76 02 douala, Cameroun; Lun-Ven: 8h-18h, Sam-Dim: 8h ... BIGC BTP est une entreprise de génie civil spécialisée dans le bâtiment et travaux publics.",2026-03-17T15:49:02.636Z
Entreprise BTP Construction Rénovation Génie Civil ...,https://www.renovbuilding.cm/services,Yes,https://www.facebook.com/renovbuilding,Renov Building,867,61825235,,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Renov Building, entreprise leader du secteur BTP au Cameroun spécialisée en construction durable, rénovation complète, travaux de génie civil, ...",2026-03-17T15:49:53.215Z
Real estate development in Cameroon,https://www.expat.com/en/business/africa/cameroon/9_engineering-construction/195_real-estate-development/,Yes,https://www.facebook.com/expat.blog,Expat.com,112000,61825329,,,contact@expat.com,"20169404; 23765383; 23769285; 65699430; 23723341; 69263237; 23769394; 69800238; 23769347; 69414438; 24245569; 69982903; 32097499; +23765383930; 0023769285058; 0023769394925; 0023769347995",google_serpapi,Any property development project in Cameroon? Our Real estate developers in Cameroon directory will help you.,2026-03-17T15:53:36.410Z
Building and Roofing Industry of Cameroon: Accueil,https://briccameroun.com/,Yes,https://www.facebook.com/briccm,BRIC Cameroun S.A.,985,61825392,serviceclient@briccameroun.com,,,"20170430; 20221205; 20250206; 30539140; 31309545; 62313825; 63710212; 62419242",google_serpapi,"BRIC SA (Building and Roofing Industry of Cameroon) est une Société de droit Camerounais, exerçant dans la fabrication des matériaux de construction, le génie ...",2026-03-17T15:56:00.005Z
"Renov Building - Construction, Rénovation, BTP, Plomberie ...",https://www.renovbuilding.cm/,Yes,https://www.facebook.com/renovbuilding,Renov Building,867,61825399,contact@renovbuilding.cm,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Renov Building, entreprise leader du secteur BTP au Cameroun spécialisée en construction durable, rénovation complète, travaux de génie civil, ...",2026-03-17T15:56:16.953Z
Toutes les villes - adpmrealestate,https://adpmrealestate.com/fr/,Yes,https://www.facebook.com/ADPMCameroun,African Diaspora Project Management,26000,61825454,info@adpm-investiraucameroun.com,,Cameroun@adpmrealestate.com,"0023769352952; 20251123; 65356495",google_serpapi,"Douala. More Details · 25 Properties. Yaoundé. More Details · 1 Property. Kribi. More Details. ""ADPM Real Estate m'a permis d'acheter sereinement depuis la ...",2026-03-17T15:58:25.382Z
Agencies - 237immobilier.com,https://237immobilier.com/agencies/,Yes,https://www.facebook.com/inspirythemes,InspiryThemes,13000,61825471,,,"hello@digi-tech.com; hello@yoursite.com; hello@digit-tech.com","37987884; 37791035; +23767193709; 37719370",google_serpapi,Alice is a broker associate and Realtor. She is dedicated in helping buyers and sellers throughout the city. She enjoys the local aspect of real estate.,2026-03-17T15:59:02.867Z
"Manage - Codecis : Real Estate Agency Cameroon, Yaounde ...",https://codecis.com/en/manage/,Yes,https://www.facebook.com/codecis,Codecis: Immobilier Yaoundé,21000,61825486,info@codecis.com,,"medianetmandjan@gmail.com; info@codecis.com","+23767519520; 20250409; 20260228; 69838820; 23456789; 20240521; 31536000; 20251215; 25686540",google_serpapi,"... Real Estate Agents of Cameroon (ANAIC), based in Douala, P.O. Box 11955, Tel (237) 699 94 62 72 / 699 95 79 64, or with the relevant Ministry, which is the ...",2026-03-17T15:59:37.581Z
100 experts immobiliers à proximité - StarOfService,https://www.starofservice.cm/expertise-immobiliere/near-me,Yes,https://www.facebook.com/Starofservice,StarOfService.com,49000,61825495,,,exemple@email.com,"26783251; 26233582; 37950312; 32579947; 22123456; 21185834; 25171951; 60051255; 25175884; 24841070; 38139397; 68126844; 28154755; 36149961; 37321367; 32128233; 68107038; 68112072; 60081139; 34161134; 62113024; 66661390; 38149124; 29145904; 26671591; 34821582; 29471582; 39931686; 38011630; 38551671; 61251687; 20241008; 20240822; 21100598; 32226536; 61973678; 64014304; 61315359; 69359766; 21254962; 35840767; 37990632; 69767577; 61473839; 64464726; 39887972; 26233077; 37393700",google_serpapi,Voici la liste complète de nos meilleurs experts immobiliers évalués par la communauté StarOfService. Vous voulez savoir qui est dans le top 100 ?,2026-03-17T16:00:03.484Z
<<<<<<< HEAD
Company Name,Website URL,Has Facebook,Facebook URL,Facebook Page Name,Followers,Phone (Facebook),Email (Facebook),Address (Facebook),Emails (Website),Phones (Website),Found Via,Description Snippet,Scraped At
Accueil - ECO CONSTRUCTION SARL :: est une entreprise ...,https://ecoconstructionbtp.com/,Yes,https://www.facebook.com/promedia,Pro Media Production,6,61788469,,,"infos@ecoconstructionbtp.com; carrieres@ecoconstructionbtp.com","20743220; 20180424; 20210827; 23769408",google_serpapi,"Bureau ECO CONSTRUCTION SARL : Douala, Ecole Publique New Deido Adresse ECO CONSTRUCTION SARL :BP: 8598 Douala – Cameroun Contacter ECO CONSTRUCTION SARL ...",2026-03-16T16:03:10.272Z
11 Best Construction companies in Cameroon - Project House,https://project-house.net/construction-companies-in-cameroon/,Yes,https://www.facebook.com/Project-House-Consulting-Services-501149433756811,Discussions,71000,61788477,,,info@project-house.net,"33756811; 20221117; 20230714; 62891585; +23765047802; 23332410; 69984985; 20111951; +23769899072; 23765006",google_serpapi,"1). Charis Electric Co Ltd (Bamenda) · 2). George & Jerry Construction Company Ltd (Buea) · 3). Bundes Construction (BUCRES), [Limbe] · 4). BRIC ...",2026-03-16T16:03:21.737Z
Why Truvok is the Leading Construction Company in Douala,https://truvok.com/why-truvok-is-the-leading-construction-company-in-douala/,Yes,https://www.facebook.com/truvok,Discussions,37000,61788481,,,contact@truvok.com,"20250201; 20250422; 61804697; +23767474444",google_serpapi,"As a premier construction company based in Douala, we pride ourselves on delivering top-notch projects from start to finish throughout Cameroon.",2026-03-16T16:03:39.940Z
construire la maison de vos rêves,https://ecoconstructioncameroon.com/fr/,Yes,https://www.facebook.com/EcoCamLtd,Discussions,207,61788498,,,,"20170722; 20250403",google_serpapi,Eco Construction Cameroon conçoit et construit des maisons clé en main pour les clients au Cameroun et de la diaspora camerounaise.,2026-03-16T16:04:16.060Z
Diamond Realty,https://www.diamondrealty.estate/,Yes,https://www.facebook.com/diamondrealtycameroon,Discussions,568,61788525,,,,"31025645; 34189508; 66698214; 67033765; 66700899; 66701428; 31534452; +23769572337; +23768285900",google_serpapi,"Diamond Realty is a real estate company in Cameroon focused on land development, construction, and property management.",2026-03-16T16:05:20.894Z
Real estate,https://groupesohaing.com/our-business/real-estate/,Yes,https://www.facebook.com,Discussions,,61788534,,,contact@groupesohaing.com,"33420053; 31536000",google_serpapi,"The SOHAING Group's property development business is mainly based in Cameroon and France. Its portfolio includes: Residential buildings (44,065 sqm) in ...",2026-03-16T16:05:40.493Z
Home - ECO CONSTRUCTION CAMEROON,https://ecoconstructioncameroon.com/en/,Yes,https://www.facebook.com/EcoCamLtd,Eco Construction Cameroon,207,61788540,,,,"20170722; 20250403",google_serpapi,Building the home of your dreams! Eco Construction Cameroon designs and builds turnkey homes for clients in Cameroon and the Cameroonian diaspora.,2026-03-16T16:05:56.729Z
KARCH REAL ESTATE,https://realestate.karchltd.com/,Yes,https://www.facebook.com/karchltd,Discussions,35,61788544,,,,,google_serpapi,"Discover prime land for sale and rent in Cameroon, including industrial plots, farmlands, and sea-view properties. All lands come with certified titles.",2026-03-16T16:06:08.110Z
Genie Capital: Welcome,https://geniecapital.co/,Yes,https://www.facebook.com/GenieCapitalLtd,FacebookFacebook,,61788555,,,info@geniecapital.com,,google_serpapi,Genie Capital Ltd is one of the leading private property management companies in Cameroon. Genie Capital Ltd is relied upon by real estate investors at home ...,2026-03-16T16:06:31.795Z
"Renov Building - Construction, Rénovation, BTP, Plomberie ...",https://www.renovbuilding.cm/,Yes,https://www.facebook.com/renovbuilding,Discussions,867,61788569,contact@renovbuilding.cm,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Fondée en 2017 à Yaoundé, Cameroun, Renov Building est votre partenaire de choix pour tous vos projets de construction, rénovation, BTP, plomberie, électricité, ...",2026-03-16T16:07:03.632Z
Promotion immobilière,https://groupe-kedibuild.com/promotion-immobiliere/,Yes,https://www.facebook.com/Groupekedibuild,Discussions,871,61788597,,,contact@groupe-kedibuild.com,"25703981; 25721601; 25726000; 61893762; 61935481; 61893758; 33416504; 20250206",google_serpapi,"BP : 5335 Douala, Cameroun. Tel: 233 41 65 04. Mail : contact@groupe-kedibuild.com. Liens directs. Immobilier · Cabinet conseil · Investir · Carriere ...",2026-03-16T16:08:08.344Z
Rental Square : Agence Immobilier Douala Cameroun,https://rentalsquare237.com/,Yes,https://www.facebook.com,Discussions,,61788616,,,rentalsquare.net@gmail.com,"20210407; 20250915; 27061571; 30198988; 20251001",google_serpapi,"Bonamoussadi, Douala ... Votre agence immobilière de référence. +237 6 76 74 07 83. rentalsquare.net@gmail.com. Localisations. Bali · Bonanjo · Bonapriso ...",2026-03-16T16:08:52.011Z
Entreprise BTP Construction Rénovation Génie Civil ...,https://www.renovbuilding.cm/services,Yes,https://www.facebook.com/renovbuilding,Discussions,867,61788630,contact@renovbuilding.cm,,contact@renovbuilding.cm,+23767072620,google_serpapi,"Renov Building, entreprise leader du secteur BTP au Cameroun spécialisée en construction durable, rénovation complète, travaux de génie civil, ...",2026-03-16T16:09:24.976Z
BIGC-BTP – Bureau d'Ingenieurs de Genie Civil,https://bigcbtp.com/,Yes,https://www.facebook.com/share/18bwZTfB9S,Discussions,3000,61788637,bigcbtpsarl@yahoo.com,,bigcbtpsarl@yahoo.com,"+23767807094; +23769679475; 67807094; 69679475; 20250221; 67108864; 20251001",google_serpapi,BIGC BTP est une entreprise de génie civil spécialisée dans le bâtiment et travaux publics. Nous maîtrisons une large palette de savoir-faire en construction ...,2026-03-16T16:09:41.943Z
Approved Real Estate Developer in Cameroon,https://cfbholding.com/cfb-holding-ltd-now-an-approved-real-estate-developer-in-cameroon/,Yes,https://www.facebook.com/people/CFB-Holding-Ltd/61555691876999,Discussions,14,61788647,,,john@doe.com,"20250314; 20251209; 36267898; 61555691; 23782715",google_serpapi,"CFB Holding Ltd unveils its status as a Real Estate Developer in Cameroon, focusing on sustainable living and quality housing.",2026-03-16T16:10:05.044Z
Cameroon Investment Properties – Buy-to-Let & Commercial,https://veles-club.com/projects/cameroon,Yes,https://www.facebook.com/VelesClub.int,Discussions,76000,61788665,,,info@veles-club.com,"20250808; 20250809",google_serpapi,"Find top investment properties in Cameroon, from studio-apartments to luxurious villas. VelesClub Int. supports foreign and local investors with market ...",2026-03-16T16:10:48.193Z
Agences immobilières | Walazouo,https://cm.walazouo.com/fr/agencies?ShortBy=asc&View=list,Yes,https://www.facebook.com/A2MImmobilierCameroun,Discussions,11000,61788682,,,"immobiliera2m@gmail.com; contact@abbasimmob.cm; logementsducam@yahoo.fr; contact@agiicam.com; ntcodecsarl@gmail.com; droneimmobilier03@gmail.com; info@walazouo.com","36972200; 35472200; 68213800; 67868700; 28841200; 36716600; 35331800; 62984110; 63155890; 65878210; 32100950; 63815800; 27134700; 62350500; 25440440; 39656000; 63051300; 22448510; 67597720; 30170000; 33236200; 32260160; 39338900; 31199450; 33814880; 66830200; 67679580; 36730840; 26322430; 22465600; 63332680; 20283200; 26295800; 69958230; 38085000; 69401040; 26054200; 68136400; 65084010; 24779700; 39428800; 68704590; 33021800; 38596300; 64937500; 23974600; 38892800; 31628200; 69959900; 34943000; 69331390; 34859500; 22764900; 34591700; 22570600; 24312300; 22931600; 69679630; 60605400; 36340000; 28004500; 69749280; 38639900; 23453200; 27282800; 69993060; 27199300; 36388600; 69470680; 35902000; 32155400; 32222300; 38438900; 35330600; 27770800; 39849900; 65989400; 69012200; 20543200; 26936800; 29068000; 33292100; 32880200; 25961600; 69039900; 25338400; 24790300; 21534800; 61945100; 30955400; 35194900; 35508100; 26751400; 66786400; 66667000; 37919300; 27401000; 34151500; 22340000; 21863500; 28137400; 27913000; 64215000; 34751700; 25734800; 21964000; 62437500; 34857300; 30051400; 39014600; 61427600; 63898900; 68009000; 23040000; 31646200; 33915700; 37053700; 29464100; 64780000; 62818750; 31126100; 66744900; 23248200; 66712100; 69409300; 69190000; 26866200; 61685300; 20229200; 29018900; 68520000; 26310800; 32139500; 24013500; 27318800; 64712900; 24418300; 39191900",google_serpapi,"Toutes les agences immobilières ; A2M Immobilier. odza Koweit, Yaoundé, Cameroon · +237 6 76 87 82 00 ; Abbas Immobilier. Nouvelle route Bastos, Yaoundé, Cameroon.",2026-03-16T16:11:26.142Z
House Rental & Property Sales in Cameroon,https://amigoconsultingcm.com/house,Yes,https://www.facebook.com/amigo%20consulting,Discussions,,61788687,,,"amigoconsultingcm@gmail.com; teams-cameroon@amigoconsultingcm.com",60518883,google_serpapi,"Find Your Dream Home in Cameroon. Discover the perfect property for rent or sale. From luxury homes to affordable apartments, studios, and commercial spaces ...",2026-03-16T16:11:40.209Z
Houses to let,https://geniecapital.co/p/houses-to-let,Yes,https://www.facebook.com/GenieCapitalLtd,Discussions,,61788691,,,info@geniecapital.com,,google_serpapi,"Genie Capital Ltd is an Investment and Property Management company with Head Office in Buea - SW Cameroon and operations in Limbe - SW Cameroon, Douala - LT ...",2026-03-16T16:11:48.743Z
Residential Building Contractors in Cameroon,https://truvok.com/residential-building-contractors-in-cameroon-your-ultimate-guide/,Yes,https://www.facebook.com/truvok,Discussions,37000,61788702,,,contact@truvok.com,"20240823; 61804697; +23767474444; 30203630",google_serpapi,"In this guide, we'll explore everything you need to know about residential building contractors in Cameroon, including what to look for, the ...",2026-03-16T16:12:14.576Z
100 entreprises de construction à proximité - StarOfService,https://www.starofservice.cm/service-de-construction/near-me,Yes,https://www.facebook.com/Starofservice,Discussions,49000,61788709,,,exemple@email.com,"26783251; 26233582; 37950312; 22123456; 21185834; 25171951; 60051255; 25175884; 24841070; 38139397; 68126844; 28154755; 36149961; 37321367; 32128233; 68107038; 68112072; 60081139; 34161134; 62113024; 66661390; 38149124; 29145904; 26671591; 34821582; 29471582; 39931686; 38011630; 38551671; 61251687; 60438913; 63768952; 27599813; 20190222; 25967912; 32178157; 20210113; 20240919; 63010395; 31293923; 23534751; 20211017; 62551309; 69574741; 39020161; 27854910; 66204747",google_serpapi,Cabinet Asfo Architect · Meg Construction · AGREGATS.LO SERVICE · DOMA Construction · WORLD ART CONSTRUCTION · GROUPE OBERLIN · ARTIFICIATA SARL · 'innova A﹠S.,2026-03-16T16:12:30.376Z
Toutes les villes - adpmrealestate,https://adpmrealestate.com/fr/,Yes,https://www.facebook.com/ADPMCameroun,Discussions,26000,61788717,info@adpm-investiraucameroun.com,,Cameroun@adpmrealestate.com,"0023769352952; 20251123; 65356495",google_serpapi,"Douala. More Details · 25 Properties. Yaoundé. More Details · 1 Property. Kribi. More Details. ""ADPM Real Estate m'a permis d'acheter sereinement depuis la ...",2026-03-16T16:12:50.460Z
Agencies - 237immobilier.com,https://237immobilier.com/agencies/,Yes,https://www.facebook.com/inspirythemes,Discussions,13000,61788726,,,"hello@digi-tech.com; hello@yoursite.com; hello@digit-tech.com","37987884; 37791035; +23767193709; 37719370; 32759845",google_serpapi,Alice is a broker associate and Realtor. She is dedicated in helping buyers and sellers throughout the city. She enjoys the local aspect of real estate.,2026-03-16T16:13:05.793Z
100 spécialistes de l'immobilier à proximité - StarOfService,https://www.starofservice.cm/service-immobilier/near-me,Yes,https://www.facebook.com/Starofservice,Discussions,49000,61788730,,,exemple@email.com,"26783251; 26233582; 37950312; 22123456; 21185834; 25171951; 60051255; 25175884; 24841070; 38139397; 68126844; 28154755; 36149961; 37321367; 32128233; 68107038; 68112072; 60081139; 34161134; 62113024; 66661390; 38149124; 29145904; 26671591; 34821582; 29471582; 39931686; 38011630; 38551671; 61251687; 20241008; 20240822; 60509588; 37159661; 69357355; 37962189; 36644903; 29277330; 29522744; 26327128; 24442439; 28035364; 21159565; 28569284; 67188252",google_serpapi,Spécialistes de l'immobilier à proximité · Lion's Immobilier · Titi Multi-service International Sarl · MENBGWA ZIDANE · Manekeng · BADI Holding SARL · Lamaison ...,2026-03-16T16:13:20.276Z
EverAfrica | Entreprise de construction partenaire de vos projets,https://ever-africa.com/,Yes,https://www.facebook.com/everafrica.company,Discussions,1000,61788746,,,contact@ever-africa.com,"20200904; 20240905; 25577289; 68734985; 68708615; 68722817; 68709794; 68722819; 68709941; 68572016; 68572015; 68859932; 69260342; 68708643; 68708656; 68708613; 68708640; 68708649; 68708654; 68710975; 68710972; 68794745; 68709001; 68734904; 68709868; 68709830; 68709623; 68709534; 68708999; 68709871; 68709834; 68734907; 68734911; 68709883; 68709837; 68709002; 68709887; 68709839; 68734918; 68709004; 68734924; 68711746; 68709842; 68709005; 68709893; 68709845; 68734932; 68709007; 68734941; 68709895; 68709847; 68709008; 68709899; 68709850; 68734977; 68710958; 68713632; 68713681; 68794778; 68734980; 68709781; 68723024; 68723037; 68723039; 68709792; 61421473; 68712407; 60284164; 60267254; 20250206",google_serpapi,"Nous sommes une entreprise de construction, spécialisée dans la conception et la réalisation d'ouvrages clé à main (maisons individuelles, commerces, immeubles ...",2026-03-16T16:13:56.509Z
BERIA GROUP| for sustainable construction | Cameroon,https://en.beriagroup.com/,Yes,https://www.facebook.com/BERIA-GROUP-Sarl-111942243520356,Discussions,844,61788757,info@beriagroup.com,,info@beriagroup.com,"25453524; 20549363; 29072959; 22112212; 22642265; 20132014; 20202022; 20742079; 20802089; 21532154; 28833819; 20322033; 21162117; 21902193; 26102611; 31599558; 69827996; 35067666; 32691835; 65688374; 31297995; 34864378; 25908938; 31330748; 27879999; 39968175; 39916890; 20200613; 66471986; 32613137; 27154543; 35850533; 29178430; 64626048; 28994754; 64196490",duckduckgo,"BERIA GROUP is a limited liability company based in Douala, Cameroon with expertise in the fields of building and public works, energy and home automation, import-export and a team of qualified and well experienced engineers throughout the country.",2026-03-16T16:14:21.890Z
"Accueil - CIS2847 | Entreprise de BTP leader à Douala, Cameroun",https://cis2847.com/,Yes,https://www.facebook.com/tonPageFacebook,Discussions,,61788761,,,contact@cis2847.com,27272710,duckduckgo,"CIS2847, entreprise leader du BTP à Douala spécialisée en construction, génie civil et travaux publics. Plus de 10 ans d'expertise dans la réalisation de projets d'infrastructures innovants et durables au Cameroun.",2026-03-16T16:14:31.693Z
List Of Construction companies in Douala - rentechdigital.com,https://rentechdigital.com/smartscraper/business-report-details/cameroon/littoral/list-of-construction-companies-in-douala,Yes,https://www.facebook.com/RentechDigital,Rentech Digital,36000,61788771,sales@rentechdigital.com,,"team@rentechdigital.com; communication@besix.com; cameroun@actemium.com; international@magil.com; contact@truvok.com; infos@lessaah.com; direction@cambuild-btp.com; mek@biomekart.com; contact@africaresine.com; serviceclient@briccameroun.com","66691545; 20251015; 20102026; 33428670; 20230921",duckduckgo,"There are 187 Construction companies in Douala as of October 15, 2025; which is an 5.06% increase from 2023. Of these locations, 183 Construction companies which is 97.86% of all Construction companies in Douala are single-owner operations, while the remaining 4 which is 2.14% are part of larger brands. Average age of Construction companies in Douala is 2 years and 10 months.",2026-03-16T16:14:52.174Z
Accueil | Agence Immobilière Continent,https://agenceimmobilierecontinent.com/,Yes,https://www.facebook.com/AgenceImmobiliereContinent,Discussions,170,61788785,foalem@yahoo.com,,foalem@yahoo.com,"20100101; 61006363; 20140801; 20230802",duckduckgo,"Sur mon site faites vos investissements immobilier au Cameroun Grâce à l'agence immobilière continent Achat et vente de biens immobiliers (Appartements, Maisons et terrains); Lotissement des terrains Location d'appartements meublés saisonnier ou permanent, Location de maison; Nouvelle formule Le pack forum",2026-03-16T16:15:27.726Z
"Codecis - Agence immobilière cameroun, Yaounde, Douala",https://codecis.com/,Yes,https://www.facebook.com/codecis,Discussions,21000,61788793,info@codecis.com,,"medianetmandjan@gmail.com; info@codecis.com","+23767519520; 20250619; 20250804; 20260303; 23027110; 22996021; 23006863; 69838820; 20240521; 31536000; 20251215; 25686540",duckduckgo,Keyword Villes Toutes les villes Bafoussam Douala Kribi Mfou SOA Yaoundé Property Type Appartement - Appartement Meublé Commercial - Boutique - Bureau - Magasin Entrepot Fond de commerce Résidentielle - Copropriété - Immeuble - Multi Family Home - Single Family Home - Studio -- Studio meublé - Villa -- Villa meublée Terrain. Property Status A louer A vendre Chercher En vedette Villa ...,2026-03-16T16:15:43.677Z
